title,author,google_id,recommender,recommender_count,category,publication_date,pages
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,_gA_DwAAQBAJ,Brian Armstrong|Ev Williams|Larry Page|Mark Zuckerberg|Naval Ravikant|Noah Kagan|Peter Attia|Tim Ferriss,8,Biography & Autobiography,2018,352
What Do You Care What Other People Think?,Richard P. Feynman,vbMIlkpQXEkC,Larry Page|Naval Ravikant,2,Biography & Autobiography,2011,256
10% Happier,Dan Harris,pINcvgEACAAJ,Peter Attia|Veronica Belmont,2,Buddhism,2017,256
100 Best-Loved Poems,Philip Smith,YzRKPwAACAAJ,Naval Ravikant,1,Poetry,1995,96
100 Great Operas And Their Stories,Henry W. Simon,KEfSAOggWXwC,Eric Weinstein,1,Music,2010,560
100 Plus,Sonia Arrison,fG3eW9PG-50C,Peter Thiel,1,Medical,2011,272
12 Rules for Life,Jordan Peterson,TvEqDAAAQBAJ,George Raveling|Jocko Willink|Marc Andreessen|Naval Ravikant,4,Psychology,2018,320
13 Secrets for Speaking Fluent Japanese,Giles Murray,fORKMgEACAAJ,Tim Ferriss,1,Foreign Language Study,2012,173
13 Things That Don't Make Sense,Michael Brooks,euuftB3bkUgC,Bill Gates,1,Science,2010,240
18 Platoon,Jary,NYTxAAAACAAJ,Jocko Willink,1,Great Britain,1994,138
1944,Jay Winik,N8uNCgAAQBAJ,Keith Rabois,1,Biography & Autobiography,2015,656
1984,George Orwell,kotPYEqx7kMC,Emma Watson|Jordan Peterson|Matt Mullenweg|Richard Branson|Tristan Harris,5,Fiction,1983,648
1Q84,Haruki Murakami,PdwP909jJ7YC,Adam Savage,1,Fiction,2012,438
21 Lessons for the 21st Century,Yuval Noah Harari,MSKEDwAAQBAJ,Bill Gates|Jack Dorsey|Joe Rogan|Vinod Khosla,4,History,2019,400
300 Arguments,Sarah Manguso,FmZoDwAAQBAJ,Frank Blake,1,Literary Collections,2018,96
36 Arguments for the Existence of God,Rebecca Goldstein,TyyJJcED_2IC,Steven Pinker,1,Fiction,2011,506
40 Chances,Howard G Buffett,8YHEYQ4BcysC,Warren Buffett,1,Biography & Autobiography,2013,464
48 Days to the Work You Love,Dan Miller,wdN_4Zd5NE4C,Dave Ramsey,1,Religion,2007,224
5/3/1,Jim Wendler,lsEKywAACAAJ,Mark Bell,1,Exercise,2011,102
59 Seconds,Richard Wiseman,32kPHcoU2EYC,Charles Poliquin,1,Psychology,2009,240
61 Hours,Lee Child,ys_e1Jaxh4UC,Malcolm Gladwell,1,Fiction,2010,400
7 Powers,Hamilton Helmer,heEuvgAACAAJ,Keith Rabois,1,Business & Economics,2016,210
A Brief History of Everything,Ken Wilber,c9shMX7HLY0C,Dave Elitch,1,Philosophy,2007,548
A Brief History of Time,Stephen Hawking,oZhagX6UWOMC,Richard Branson,1,Science,2011,224
A Champion's Mind,Pete Sampras,TXr0fNBuBigC,Bill Gates,1,Biography & Autobiography,2009,306
A Christmas Carol,Charles Dickens,f8ANAAAAQAAJ,Larry King,1,,1858,100
A Clash of Kings,George R. R. Martin,LvOUDwAAQBAJ,Elon Musk,1,Fiction,2019,752
A Collection of Essays,George Orwell,2PXLskAHQE4C,Gretchen Rubin,1,Literary Criticism,1970,324
A Comprehensive Introduction to Differential Geometry,Michael Spivak,m6UrAAAAYAAJ,Eric Weinstein|Eric Weinstein|Eric Weinstein|Eric Weinstein|Eric Weinstein,5,Mathematics,1979,423
A Confederacy of Dunces,John Kennedy Toole,Hg0jKHsj6DMC,Jerrod Carmichael|Jesse Williams,2,Fiction,2007,416
A Course in Mathematical Analysis,Douard Goursat,lBSLlvRD1CYC,Patrick Collison,1,History,2009,274
A Course in Miracles,Dr. Helen Schucman,LwB1DwAAQBAJ,Ed Latimore,1,Self-Help,2018,312
A Cultural History of Physics,Károly Simonyi,Bmcpsgp-Ml4C,Naval Ravikant,1,Mathematics,2012,636
A Culture of Growth,Joel Mokyr,z22YDwAAQBAJ,Patrick Collison,1,Business & Economics,2016,400
A Curious Discovery,John S. Hendricks,wG3PMgEACAAJ,Mike Rowe,1,Biography & Autobiography,2013,384
A Curious Mind,Brian Grazer,B08ADAAAQBAJ,Karlie Kloss,1,Biography & Autobiography,2016,320
A Dance with Dragons,George R. R. Martin,uPqLDQAAQBAJ,Elon Musk,1,Fiction,2015,1152
A Fan's Notes,Frederick Exley,uLeXn9z8lwwC,Richard Betts,1,Fiction,2010,400
A Farewell to Arms,Ernest Hemingway,2_XH0Z81_ZEC,Jordan Peterson,1,Fiction,1997,305
A Feast for Crows,George R. R. Martin,fdSJDQAAQBAJ,Elon Musk,1,Fiction,2014,1060
A Feast of Snakes,Harry Crews,eGgUjNJfZeQC,Cal Fussman,1,Fiction,1998,192
A Few Lessons for Investors and Managers From Warren Buffett,Peter Bevelin,_LGhMwEACAAJ,Warren Buffett,1,Investments,2012,81
A Field Guide to Getting Lost,Rebecca Solnit,gGUAb9D9qOwC,Matt Mullenweg|Sarah Lewis,2,Philosophy,2010,224
A Fine Balance,Rohinton Mistry,WcaFd95RABEC,Jacqueline Novogratz|Oprah Winfrey,2,Fiction,2010,624
A Full Life,Jimmy Carter,G-upDAAAQBAJ,Bill Gates|Richard Branson,2,Biography & Autobiography,2016,272
A Game of Thrones,George R. R. Martin,72aHpwAACAAJ,Elon Musk,1,Fantasy fiction,2011,864
A Gentleman in Moscow,Amor Towles,-9CLDwAAQBAJ,Bill Gates,1,Fiction,2019,496
A Giacometti Portrait,James Lord,OIdxFO6USZYC,Rainn Wilson,1,Art,1980,117
